,DATE,RIDE,ALIGHT
0,20190101,3419948.0,3393505.0
1,20190102,7621668.0,7592334.0
2,20190103,7873692.0,7842521.0
3,20190104,8270345.0,8238936.0
4,20190105,6062294.0,6030041.0
5,20190106,4408718.0,4380548.0
6,20190107,7824428.0,7794744.0
7,20190108,7913162.0,7880220.0
8,20190109,7815405.0,7783069.0
9,20190110,7977300.0,7943858.0
10,20190111,8351322.0,8322218.0
11,20190112,6282189.0,6249935.0
12,20190113,4501053.0,4471430.0
13,20190114,7680436.0,7649995.0
14,20190115,7826713.0,7796883.0
15,20190116,7891108.0,7860667.0
16,20190117,8034764.0,8003544.0
17,20190118,8361638.0,8331206.0
18,20190119,6259796.0,6224923.0
19,20190120,4530960.0,4498963.0
20,20190121,7736189.0,7707825.0
21,20190122,7929541.0,7897433.0
22,20190123,8034871.0,8003785.0
23,20190124,8082710.0,8051559.0
24,20190125,8438603.0,8407563.0
25,20190126,6350557.0,6317588.0
26,20190127,4635486.0,4606559.0
27,20190128,7845049.0,7816369.0
28,20190129,7948890.0,7919983.0
29,20190130,8039829.0,8009463.0
30,20190131,7899350.0,7870708.0
31,20190201,7979109.0,7952743.0
32,20190202,5079486.0,5056721.0
33,20190203,3412440.0,3395496.0
34,20190204,2941955.0,2920885.0
35,20190205,2837335.0,2815479.0
36,20190206,3741895.0,3719637.0
37,20190207,7401179.0,7372794.0
38,20190208,7913111.0,7882112.0
39,20190209,6002458.0,5968028.0
40,20190210,4360767.0,4332473.0
41,20190211,7942263.0,7912704.0
42,20190212,8084200.0,8051460.0
43,20190213,8163495.0,8130267.0
44,20190214,8255961.0,8221527.0
45,20190215,8594706.0,8566747.0
46,20190216,6619046.0,6583366.0
47,20190217,4745767.0,4714947.0
48,20190218,8000117.0,7970291.0
49,20190219,8046652.0,8021191.0
50,20190220,8226686.0,8194659.0
51,20190221,8272500.0,8238287.0
52,20190222,8613525.0,8578734.0
53,20190223,6803807.0,6766849.0
54,20190224,4985414.0,4952226.0
55,20190225,8120066.0,8088780.0
56,20190226,8265465.0,8230301.0
57,20190227,8345186.0,8312840.0
58,20190228,8581221.0,8548654.0
59,20190301,5930573.0,5896024.0
60,20190302,5921798.0,5889802.0
61,20190303,4647568.0,4617237.0
62,20190304,8201102.0,8172808.0
63,20190305,8251245.0,8224043.0
64,20190306,8378284.0,8351214.0
65,20190307,8603259.0,8573509.0
66,20190308,8989634.0,8959808.0
67,20190309,6954483.0,6916790.0
